Position,Title,Rating,Budget,Opening Weekend USA,Gross USA,Cumulative Worldwide Gross
222,La haine(1995),8.1,"EUR2,590,000",,"$280,859 ","$302,606 "
221,Into the Wild(2007),8.1,"$15,000,000 ","$212,440 ","$18,354,356 ","$56,675,895 "
205,Mr. Smith Goes to Washington(1939),8.1,"$1,900,000 ","$83,205 ","$144,738 ","$144,738 "
187,The Grand Budapest Hotel(2014),8.1,"$25,000,000 ","$811,166 ","$59,301,324 ","$172,945,750 "
173,Kill Bill: Vol. 1(2003),8.1,"$30,000,000 ","$22,200,000 ","$70,099,045 ","$180,906,076 "
186,Before Sunrise(1995),8.1,"$2,500,000 ","$1,423,537 ","$5,535,405 ","$5,987,386 "
180,Gran Torino(2008),8.1,"$33,000,000 ","$271,720 ","$148,095,302 ","$269,958,228 "
168,The Truman Show(1998),8.1,"$60,000,000 ","$31,542,121 ","$125,618,201 ","$264,118,201 "
157,No Country for Old Men(2007),8.1,"$25,000,000 ","$1,202,000 ","$74,283,625 ","$171,627,166 "
177,The Bridge on the River Kwai(1957),8.1,"$3,000,000 ",,"$27,200,000 ","$27,200,000 "
169,Gone with the Wind(1939),8.1,"$3,977,000 ","$1,192,593 ","$200,852,579 ","$402,352,579 "
206,Mad Max: Fury Road(2015),8.1,"$150,000,000 ","$45,428,128 ","$154,058,340 ","$376,109,824 "
215,Cool Hand Luke(1967),8.1,"$3,200,000 ",,,
201,How to Train Your Dragon(2010),8.1,"$165,000,000 ","$43,732,319 ","$217,581,231 ","$494,879,471 "
193,Persona(1966),8.1,,,,"$84,391 "
188,Mary and Max(2009),8.1,"AUD8,240,000",,,"$1,740,429 "
199,The General(1926),8.1,"$750,000 ",,,
207,Dead Poets Society(1989),8.1,"$16,400,000 ","$340,456 ","$95,860,116 ","$235,860,116 "
196,The Big Lebowski(1998),8.1,"$15,000,000 ","$5,533,844 ","$18,034,458 ","$46,748,672 "
190,Gone Girl(2014),8.1,"$61,000,000 ","$37,513,109 ","$167,767,189 ","$369,330,363 "
182,The Third Man(1949),8.1,,"$13,576 ","$1,067,364 ","$1,226,797 "
160,The Thing(1982),8.1,"$15,000,000 ","$3,107,897 ","$19,629,760 ","$19,632,053 "
189,Catch Me If You Can(2002),8.1,"$52,000,000 ","$30,053,627 ","$164,615,351 ","$352,114,312 "
227,Hotel Rwanda(2004),8.1,"$17,500,000 ","$100,091 ","$23,530,892 ","$33,882,243 "
223,La passion de Jeanne d'Arc(1928),8.1,,"$6,408 ","$21,877 ","$21,877 "
219,Le salaire de la peur(1953),8.1,,,,"$1,098 "
185,In the Name of the Father(1993),8.1,"$13,000,000 ","$109,805 ","$25,096,862 ","$65,796,862 "
156,Chinatown(1974),8.1,"$6,000,000 ",,"$29,200,000 ","$29,225,935 "
234,Soul(2020),8.1,,,,"$135,435,315 "
220,Rush(2013),8.1,"$38,000,000 ","$187,289 ","$26,947,624 ","$96,983,009 "
235,Rebecca(1940),8.1,"$1,288,000 ",,,"$72,275 "
192,Prisoners(2013),8.1,"$46,000,000 ","$20,817,053 ","$61,002,302 ","$122,126,687 "
167,Trainspotting(1996),8.1,"GBP1,500,000","$262,673 ","$16,491,080 ","$16,607,872 "
197,Barry Lyndon(1975),8.1,"$11,000,000 ",,,"$198,992 "
214,Ah-ga-ssi(2016),8.1,"KRW10,000,000,000","$92,129 ","$2,006,788 ","$37,767,206 "
212,Network(1976),8.1,"$3,800,000 ",,"$23,689,877 ","$23,690,757 "
231,Rocky(1976),8.1,"$960,000 ",,"$117,235,147 ","$117,250,382 "
225,Life of Brian(1979),8.1,"$4,000,000 ","$140,034 ","$20,206,622 ","$20,742,331 "
216,Logan(2017),8.1,"$97,000,000 ","$88,411,916 ","$226,277,068 ","$619,179,950 "
153,"Three Billboards Outside Ebbing, Missouri(2017)",8.1,"$15,000,000 ","$322,168 ","$54,513,740 ","$160,192,267 "
209,Harry Potter and the Deathly Hallows: Part 2(2011),8.1,"$125,000,000 ","$169,189,427 ","$381,409,310 ","$1,342,321,665 "
